Phần,Thời gian,Scripts,Concept kỹ thuật
,02:23 - 02:35,"""Nhờ cộng đồng nguồn mở, nhóm phát triển ShearedLlama có được tập dữ liệu sạch Red Pyjama bao gồm nhiều lĩnh vực: từ Common Crawl, Github, cho đến sách và bài báo khoa học.""","- Ký hiệu dễ làm: Xuất hiện một hình tròn lớn màu trắng viền xanh dương mang nhãn chữ trung tâm: Red Pyjama. Từ hình tròn này, tự vẽ ra 3 mũi tên chỉ vào 3 khối chữ nhỏ xung quanh: Common Crawl — Github — Sách & Bài báo khoa học.
- Chuyển cảnh: Thu nhỏ cụm sơ đồ dữ liệu này dạt sang góc trái màn hình."
,02:35 - 02:39,"""Nhưng nếu cứ bốc ngẫu nhiên dữ liệu này đem đi huấn luyện thì sao?""","- Ký hiệu dễ làm: Ở nửa trống bên phải màn hình, xuất hiện nhãn chữ câu hỏi: Bốc ngẫu nhiên dữ liệu = ?.
- Chuyển cảnh: Giữ nguyên câu hỏi để đưa kết quả thất bại vào ở câu tiếp theo."
,02:39 - 02:42:,"""Câu trả lời là thất bại.""","- Ký hiệu dễ làm: Dòng chữ câu hỏi biến mất, thay thế bằng chữ ""THẤT BẠI"" màu đỏ khổng lồ nhấp nháy 2 lần.
- Chuyển cảnh: Chữ thất bại mờ đi, nhường chỗ cho đồ thị phân tích nghịch lý ở câu sau."
,02:42 - 02:50,"""Nhóm nghiên cứu phát hiện ra một nghịch lý: sự chênh lệch về độ tổn thất (loss difference) giữa các lĩnh vực sau khi cắt tỉa là cực kỳ mất cân bằng.""","- Ký hiệu dễ làm: Xuất hiện dòng chữ tiêu đề: NGHỊCH LÝ: MẤT CÂN BẰNG ĐỘ TỔN THẤT (LOSS). Phía dưới vẽ một đường thẳng nằm ngang đóng vai trò làm trục cơ sở.
- Chuyển cảnh: Đưa các thông số cột Loss cụ thể vào đồ thị ở câu sau."
,02:50 - 02:57,"""Tổn thất trên tập dữ liệu C4 cao hơn rất nhiều so với tập Github. Nếu cứ lấy mẫu theo tỷ lệ ban đầu, mô hình sẽ bị lệch lạc kiến thức.""","- Ký hiệu dễ làm: Trên trục đồ thị, vẽ hai cột đứng (Rectangle): một cột Loss của miền chữ C4 vọt lên rất cao chạm trần màn hình (màu đỏ nguy hiểm), đặt cạnh một cột Loss của miền chữ Github nằm rất thấp sát đáy (màu xanh). Xuất hiện dòng chữ cảnh báo: MÔ HÌNH BỊ LỆCH LẠC KIẾN THỨC.
- Chuyển cảnh: Giữ nguyên đồ thị mất cân bằng để chuẩn bị đưa giải pháp Quy luật mở rộng vào can thiệp ở câu sau."
,02:57 - 03:07,"""Và đây là lúc đỉnh cao tư duy học thuật lên tiếng: họ đã tận dụng chính chuỗi mô hình lớn của Llama để khớp vào Quy luật mở rộng (Scaling Laws).""","- Ký hiệu dễ làm: Xuất hiện một đường cong nét mảnh rực sáng vuốt ngược từ dưới lên trên, đại diện cho chữ nhãn: Quy luật mở rộng (Scaling Laws).
- Chuyển cảnh: Đường cong Scaling Laws di chuyển đè lên trục đồ thị Loss cũ."
,03:07 - 03:12,"""Từ quy luật đó, họ dự đoán chính xác mức tổn thất tham chiếu (reference loss) cho mô hình 3B nhỏ bé này trên từng lĩnh vực riêng biệt.""","- Ký hiệu dễ làm: Trên đỉnh hai cột đồ thị Loss C4 và Github không đều lúc nãy, xuất hiện hai vệt ngang nét đứt màu vàng mang nhãn chữ: Mức tổn thất dự đoán (Reference Loss).
- Chuyển cảnh: Giữ nguyên vệt ngang dự đoán để thực hiện căn chỉnh tỷ lệ ở câu sau."
,03:12 - 03:18,"""Dùng con số dự đoán này làm kim chỉ nam, họ điều chỉnh lại tỷ lệ pha trộn miền dữ liệu (domain mixtures) một cách hoàn hảo, giúp hiệu suất của các tác vụ hạ nguồn tăng vọt.""","- Ký hiệu dễ làm: Dưới tác động của vệt ngang kim chỉ nam, hai cột đồ thị Loss C4 và Github tự động co giãn trở lại, cân bằng vuông vức đồng đều một cách hoàn hảo. Hiện dòng chữ: Pha trộn miền tối ưu (Domain Mixtures) -> Hiệu suất tăng vọt.
- Chuyển cảnh: Toàn bộ đồ thị và chữ mờ dần rồi xóa sạch màn hình (FadeOut)."
,03:18 - 03:32,"""Sự kiên trì của các sinh viên Princeton đã gặt hái quả ngọt. Bằng cách gom góp mọi nguồn lực máy tính có thể tìm thấy, họ đã tạo nên Sheared LLaMA 1B và 3B.""","- Ký hiệu dễ làm: Xuất hiện song song hai nhãn chữ lớn màu xanh dương ở vị trí trung tâm: Sheared LLaMA 1B và Sheared LLaMA 3B.
- Chuyển cảnh: Giữ nguyên hai nhãn mô hình, hiện thông số chi phí siêu nhỏ ở câu sau."
,03:32 - 03:41,"""Mô hình chỉ cần học trên 50 tỷ token, ngốn vài trăm giờ GPU — tức là chỉ bằng 3% lượng tính toán so với việc huấn luyện từ đầu. Đồng nghĩa với việc nếu bạn có 8 GPU, bạn chỉ mất vỏn vẹn 2 đến 3 ngày.""","- Ký hiệu dễ làm: Phía dưới hai nhãn mô hình, hiện các thông số chi phí bằng chữ rõ ràng: Dữ liệu: 50 Tỷ Tokens $\rightarrow$ Điện toán: Chỉ bằng 3% so với huấn luyện từ đầu $\rightarrow$ Thời gian: 8 GPU / 2 đến 3 Ngày.
- Chuyển cảnh: Khối thông số chi phí biến mất, nhường chỗ cho vương miện thành tựu ở câu sau."
,03:41 - 03:51,"""Nhưng kết quả thật chấn động: Sheared LLaMA ngay lập tức chiếm ngôi vương SOTA (Mô hình tiên tiến nhất) trong phân khúc 1B và 3B, vượt mặt các đối thủ ngốn nhiều dữ liệu hơn gấp bội.""","- Ký hiệu dễ làm: Chữ SOTA màu vàng viền sáng lớn hiện lên ngay phía trên hai nhãn mô hình 1B và 3B để thể hiện ngôi vương. Xuất hiện một mũi tên gạch chéo đẩy lùi dòng chữ Các đối thủ ngốn dữ liệu ra ngoài rìa.
- Chuyển cảnh: Giữ nguyên nhãn mô hình để đưa thông số lượt tải vào ở câu sau."
,03:51 - 03:57,"""Dự án đạt hơn 800.000 lượt tải trên Hugging Face chỉ sau vài tháng, trong đó bản 1B phổ biến gấp 10 lần bản 3B vì tính thực dụng của nó.""","- Ký hiệu dễ làm: Xuất hiện biểu tượng chữ: Hugging Face: 800.000+ Downloads. Nhãn chữ Bản 1B tự động phóng to kích thước ra gấp 10 lần (sử dụng lệnh scale(10)) so với nhãn chữ Bản 3B nhằm thị giác hóa độ phổ biến.
- Chuyển cảnh: Toàn bộ chữ bên trái mờ đi, dịch chuyển góc nhìn sang nửa bên phải màn hình để hiển thị tầm ảnh hưởng vĩ mô."
,03:57 - 04:05,"""Sức ảnh hưởng lớn đến mức, vào năm 2024, chính khối công nghiệp — từ các mô hình thu nhỏ của NVIDIA cho đến siêu phẩm Llama 3.2 và 3.3 của Meta — đã phải chính thức áp dụng lại tư duy này: cắt tỉa từ mô hình lớn (8B, 70B) trước khi đem đi huấn luyện tiếp.""","- Ký hiệu dễ làm: Một Mũi tên dài màu xanh dương tự vẽ ngược hướng từ phía nhãn học thuật Sheared LLaMA chỉ thẳng sang các nhãn chữ lớn của khối ngành công nghiệp vừa xuất hiện bên phải: NVIDIA Miniature và Meta Llama 3.2 & 3.3 (Cắt tỉa từ 8B/70B).
- Chuyển cảnh: Toàn bộ các nhãn chữ thương hiệu mờ dần và biến mất (FadeOut)."
,04:05 - 04:10,"""Mặc dù hiện tại, các mô hình như Qwen 2.5 3B đã vượt qua Sheared LLaMA, nhưng chúng lại bị ép huấn luyện quá mức trên 18 nghìn tỷ token — một con số lại vượt xa ngân sách học thuật. Vì vậy, một câu hỏi mới lại được đặt ra: Làm sao để huấn luyện mô hình nhỏ với ít dữ liệu hơn nữa? Liệu dữ liệu tổng hợp (Synthetic Data) có phải là tương lai? Chúng ta sẽ cùng tìm hiểu ở phần tiếp theo.""","- Ký hiệu dễ làm [Vách đá lửng chuyển cảnh]: Xuất hiện nhãn chữ đối thủ Qwen 2.5 3B kèm thông số chữ màu đỏ khổng lồ bên cạnh: 18 NGHÌN TỶ TOKEN (Quá mức ngân sách học thuật). Màn hình xóa toàn bộ, chỉ giữ lại duy nhất một dòng chữ câu hỏi lớn màu vàng làm kim chỉ nam dẫn dắt sang phần sau: ""DỮ LIỆU TỔNG HỢP (SYNTHETIC DATA) CÓ PHẢI LÀ TƯƠNG LAI?"".
- Chuyển cảnh: Toàn bộ màn hình tắt đèn đen hoàn toàn (FadeOut với thời gian ngắn) để kết thúc trọn vẹn và dứt khoát Phần 3."
Phần 4: Bộ lọc dữ liệu và huấn luyện sau,00:00 - 00:08,"""Chúng ta sẽ bước sang một vũ khí tối tân khác mà giới học thuật đang nắm giữ một niềm đam mê đặc biệt: Quản lý và tinh lọc dữ liệu huấn luyện trước (Pre-training Data Curation).""","- Ký hiệu dễ làm: Xuất hiện chữ tiêu đề lớn ở giữa màn hình: TRỤ CỘT 2: PRE-TRAINING DATA CURATION.
- Chuyển cảnh: Dòng chữ tiêu đề thu nhỏ lại và dịch chuyển (shift) lên góc trên cùng màn hình."
,00:08 - 00:15,"""Trong một thời gian dài, việc dọn dẹp dữ liệu vốn bị xem nhẹ như một tác vụ kỹ thuật thuần túy hơn là một bài toán khoa học nghiêm túc.""","- Ký hiệu dễ làm: Xuất hiện một icon Hình vuông màu xám mang nhãn chữ Tác vụ kỹ thuật. Ngay sau đó, xuất hiện một dấu gạch chéo màu đỏ đè lên hình vuông này.
- Chuyển cảnh: Hình vuông xám biến mất (FadeOut)."
,00:15 - 00:23,"""Nhưng tư duy đó đang buộc phải thay đổi. Chất lượng của dữ liệu tiền huấn luyện chính là yếu tố cốt lõi quyết định sự thông minh của mọi mô hình ngôn ngữ lớn.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ lớn rực sáng màu xanh dương ở trung tâm: CHẤT LƯỢNG > SỐ LƯỢNG.
- Chuyển cảnh: Giữ nguyên dòng chữ để chuẩn bị nối tiếp luận điểm."
,00:23 - 00:29,"""Vậy, tại sao giới học thuật lại nên dấn thân vào cuộc đua dữ liệu này?""","- Ký hiệu dễ làm: Dưới dòng chữ cũ, hiện một Dấu chấm hỏi lớn (?) màu vàng nhấp nháy.
- Chuyển cảnh: Toàn bộ chữ và dấu chấm hỏi mờ dần rồi biến mất (FadeOut)."
,00:29 - 00:37,"""Câu trả lời là vì đây là hướng đi triển vọng nhất, nơi những thực nghiệm ở quy mô nhỏ hoàn toàn có thể chuyển giao và ứng dụng hiệu quả cho các hệ thống quy mô lớn hơn.""","- Ký hiệu dễ làm: Vẽ hai hình khối đặt cạnh nhau: một Hình tròn xanh nhỏ mang chữ Quy mô nhỏ có một mũi tên dài (Arrow) chỉ thẳng sang một Hình tròn xanh khổng lồ mang chữ Quy mô lớn nhằm thể hiện tính chuyển giao nhất quán.
- Chuyển cảnh: Hai hình tròn biến mất."
,00:37 - 00:46,"""Các nghiên cứu từ cuộc thi tuyển chọn dữ liệu DC-LM đã chứng minh rằng: thứ hạng hiệu năng của các tập dữ liệu luôn giữ được sự nhất quán tuyệt đối trên mọi quy mô huấn luyện.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ DC-LM Competition. Phía dưới hiện ra một danh sách xếp hạng bằng chữ ngắn gọn: Dataset A > Dataset B > Dataset C kèm theo biểu tượng dấu bằng (=) cố định để thể hiện tính nhất quán tuyệt đối.
- Chuyển cảnh: Dòng chữ mờ dần."
,00:46 - 00:51,"""Một kiểm tra thực tế nhanh cho thấy: cấu hình nghiên cứu dữ liệu hoàn toàn nằm trong tầm tay của ngân sách học thuật.""","- Ký hiệu dễ làm: Hiện nhãn chữ màu xanh lá cây: Ngân sách học thuật: Khả thi.
- Chuyển cảnh: Dòng chữ dịch chuyển sang bên trái."
,00:51 - 01:02,"""Với thông lệ phổ biến là huấn luyện mô hình 1 tỷ tham số (1B) trên gần 30 tỷ token, chúng ta chỉ cần dùng khoảng 8 GPU chạy trong chưa đầy một ngày là đã có thể tạo ra những đóng góp khoa học có sức nặng.""","- Ký hiệu dễ làm: Hiện các thông số kỹ thuật đơn giản bằng chữ xếp thành hàng dọc: Mô hình: 1B $\rightarrow$ Dữ liệu: 30B Tokens $\rightarrow$ Chi phí: 8 GPU / < 1 Ngày.
- Chuyển cảnh: Toàn bộ các dòng chữ thông số biến mất dứt khoát (FadeOut)."
,01:02 - 01:08,"""Bước đệm lớn nhất giúp hạ thấp rào cản nghiên cứu này chính là những nỗ lực không mệt mỏi từ cộng đồng mã nguồn mở.""","- Ký hiệu dễ làm: Xuất hiện dòng chữ CỘNG ĐỒNG MÃ NGUỒN MỞ màu xanh dương, bao quanh bởi một Hình tròn nét đứt để biểu thị tính chất mở rộng.
- Chuyển cảnh: Hình tròn nét đứt giãn nở ra rìa màn hình rồi biến mất."
,01:08 - 01:21,"""Từ sự xuất hiện của Red Pyjama, tập dữ liệu DOMA của viện AI2 vào năm 2023, cho đến cuộc thi Datacom LLM với bể dữ liệu DC-LM khổng lồ trích xuất từ Common Crawl... Tất cả đã tạo ra một bệ phóng vững chắc để phần còn lại của cộng đồng đẩy biên giới tri thức tiến về phía trước.""","- Ký hiệu dễ làm: Xuất hiện liên tiếp các nhãn chữ làm bệ phóng: Red Pyjama (2023) $--> AI2 DOMA --> DC-LM (Common Crawl). Một mũi tên hướng thẳng lên trên tự vẽ ra từ cụm chữ này.
- Chuyển cảnh: Toàn bộ cụm chữ biến mất."
,01:21 - 01:31,"""Khi đã có trong tay những tập dữ liệu tương đối sạch, câu hỏi nghiên cứu tiếp theo là: Làm thế nào để đo lường và lựa chọn dữ liệu dựa trên các tín hiệu chất lượng?""","- Ký hiệu dễ làm: Hiện nhãn chữ Dữ liệu sạch, ngay bên cạnh hiện ra dòng câu hỏi: Làm sao để đo lường chất lượng?
- Chuyển cảnh: Giữ nguyên câu hỏi để mở ra câu trả lời ở câu kế tiếp."
,01:31 - 01:43,"""Một xu hướng mới nổi đang thống trị lĩnh vực này là Lọc chất lượng dựa trên mô hình (Model-based quality filtering) tức là tận dụng chính các mô hình ngôn ngữ để đánh giá chất lượng dữ liệu đầu vào, tiêu biểu như ASL LLM của Google hay Fine Web-edu của Hugging Face.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ tiêu đề: Model-based Quality Filtering. Phía dưới hiện hai khối chữ đại diện: Google ASL LLM và Hugging Face FineWeb-edu.
- Chuyển cảnh: Khung chữ biến mất, chuẩn bị cho bài nghiên cứu của Danqi Chen."
,01:43 - 01:54,"""Năm ngoái tại hội nghị ICLR, nhóm nghiên cứu của Danqi Chen đã trình bày một công trình mang tên 'Curating' với một ý tưởng cốt lõi cực kỳ tinh gọn: sử dụng các mô hình ngôn ngữ để đánh giá chất lượng văn bản thông qua phương pháp so sánh từng cặp (Pairwise comparisons).""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ Dự án: 'Curating' (Danqi Chen). Phía dưới vẽ hai hình chữ nhật nhỏ đặt cạnh nhau mang chữ Văn bản A và Văn bản B kèm một icon dấu mũi tên hai chiều thể hiện sự so sánh đối chiếu.
- Chuyển cảnh: Hai hình chữ nhật văn bản biến mất, nhường chỗ cho 4 trục tọa độ."
,01:54 - 02:02,"Họ định nghĩa chất lượng tài liệu dựa trên 4 trục tọa độ khoa học: phong cách viết, tính xác thực và khả năng truy xuất, giá trị giáo dục, và cuối cùng là trình độ chuyên môn cần thiết.""","- Ký hiệu dễ làm: Màn hình hiển thị 4 dòng chữ tương ứng với 4 trục khoa học: 1. Phong cách viết | 2. Tính xác thực | 3. Giá trị giáo dục | 4. Độ chuyên môn.
- Chuyển cảnh: Giữ nguyên 4 dòng chữ để đối chiếu kết quả ở câu sau."
,02:02 - 02:11,"""Khung phân tích này hoạt động hiệu quả đến mức nó trở thành một công cụ mạnh mẽ để bóc tách nội dung và hiểu rõ sự trồi sụt chất lượng giữa các miền tri thức khác nhau.""","- Ký hiệu dễ làm: Dưới 4 trục chữ, xuất hiện hai mũi tên chỉ sang hai hướng ngược nhau để thể hiện sự trồi sụt chất lượng.
- Chuyển cảnh: Tập trung vào hai miền tri thức cụ thể ở câu tiếp theo."
,02:11 - 02:19,"""Ví dụ, các bài báo khoa học trên kho lưu trữ arXiv luôn đạt điểm vượt trội về độ chuyên môn, trong khi Wikipedia áp đảo về tính xác thực và lượng thông tin cốt lõi.""","- Ký hiệu dễ làm: Nhãn chữ arXiv hiện ra kế bên trục số 4. Độ chuyên môn với một dấu cộng lớn. Nhãn chữ Wikipedia hiện ra kế bên trục số 2. Tính xác thực.
- Chuyển cảnh: Toàn bộ hệ thống 4 trục chữ biến mất (FadeOut)."
,02:19 - 02:22,"""Tuy nhiên, chất lượng tài liệu ngay trong từng miền vẫn có sự phân hóa rất lớn.""","- Ký hiệu dễ làm: Hiện dòng chữ Sự phân hóa chất lượng màu đỏ ở giữa màn hình.
- Chuyển cảnh: Dòng chữ mờ dần."
,02:22 - 02:31,"""Điều này đặt ra một dấu hỏi lớn hơn: Chúng ta có thể phân tích được các miền có cấu trúc như Wiki hay arXiv, nhưng làm thế nào để xử lý và hiểu được đại dương dữ liệu web khổng lồ không có cấu trúc như Common Crawl?""","- Ký hiệu dễ làm: Hiện chữ Wiki + arXiv = Có cấu trúc đặt cạnh một Hình tròn lớn màu đỏ nhấp nháy mang nhãn chữ Common Crawl = Hỗn mạt / Không cấu trúc. Một dấu hỏi vàng khổng lồ hiện ra.
- Chuyển cảnh: Hình tròn đỏ và dấu hỏi biến mất, mở ra giải pháp WebOrganizer."
,02:31 - 02:40,"""Để giải bài toán hóc búa đó, năm nay họ đã dồn lực vào dự án WebOrganizer - một công trình hợp tác cùng các công cụ AI nhưng vận hành hoàn toàn trong một ngân sách học thuật khiêm tốn của phòng lab trường đại học.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ rực sáng: DỰ ÁN: WEBORGANIZER, bao quanh bởi một Hình hộp viền xanh dương để thể hiện tính chất phòng lab đại học.
- Chuyển cảnh: Khung hộp di chuyển ra giữa màn hình để mở rộng lưu đồ."
,02:40 - 02:51,"""Kết quả thu được vô cùng ấn tượng: WebOrganizer đã phân tách thành công lượng dữ liệu web hỗn mạt thành các miền tri thức có cấu trúc hai chiều cực kỳ dễ hiểu, thông qua hai hệ thống phân loại bổ sung cho nhau là Chủ đề (Topic) và Định dạng (Format).""","- Ký hiệu dễ làm [Mô phỏng Flowchart]: Vẽ hai đường thẳng giao nhau tạo thành một hệ trục tọa độ 2D đơn giản: Trục dọc ghi chữ TOPIC (Chủ đề), Trục ngang ghi chữ FORMAT (Định dạng).
- Chuyển cảnh: Giữ nguyên hệ trục để đưa số liệu trực quan vào."
,02:51 - 03:02,"""Hình ảnh trực quan hóa từ WebOrganizer phơi bày một thực tế: trong khi các chủ đề trên web phân bổ khá đồng đều, thì định dạng lại có sự thiên lệch cực kỳ nghiêm trọng, với lượng dữ liệu khổng lồ đến từ các blog cá nhân và trang quảng cáo sản phẩm.""","- Ký hiệu dễ làm: Trên trục định dạng, xuất hiện hai khối chữ đứng vượt hẳn lên mang tên: Blog cá nhân và Quảng cáo sản phẩm để thể hiện sự thiên lệch nghiêm trọng.
- Chuyển cảnh: Hệ trục tọa độ và hai khối chữ biến mất (FadeOut)."
,03:02 - 03:05,"""Vậy, làm thế nào để biến những phân vùng dữ liệu này thành một tập dữ liệu huấn luyện vượt trội?""","- Ký hiệu dễ làm: Xuất hiện dòng chữ câu hỏi màu vàng ở tâm: Làm sao tối ưu dữ liệu?
- Chuyển cảnh: Dòng chữ câu hỏi biến mất, nhường chỗ cho giải pháp Regmix."
,03:05 - 03:19,"""Nhóm nghiên cứu đã đưa ra giải pháp tối ưu hóa sự kết hợp các miền bằng một framework có tên là Regmix, được công bố tại hội nghị ICLR gần đây. Ý tưởng của Regmix là lấy mẫu ngẫu nhiên các hỗn hợp miền khác nhau để huấn luyện một loạt các mô hình proxy siêu nhỏ – chỉ khoảng 50 triệu tham số học trên 1 tỷ token.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ: FRAMEWORK: REGMIX. Phía dưới hiện thông số mô hình siêu nhỏ bằng chữ: Proxy Model: 50M Parameters \| 1B Tokens.
- Chuyển cảnh: Dòng thông số biến mất, hiển thị thuật toán hồi quy ở câu sau."
,03:19 - 03:25,"""Sau đó, một mô hình hồi quy sẽ được áp dụng để dự đoán chính xác hiệu suất của các tác vụ hạ nguồn dựa trên tỷ lệ pha trộn đó.""","- Ký hiệu dễ làm: Xuất hiện một đường thẳng nét mảnh chạy xuyên qua các điểm chấm ngẫu nhiên để mô phỏng Mô hình hồi quy (Regression), dẫn đến một khối chữ mang nhãn: Dự đoán hiệu suất.
- Chuyển cảnh: Đường hồi quy biến mất."
,03:25 - 03:29,"""Đây là một phương pháp tìm kiếm cấu trúc dữ liệu tối ưu có hiệu quả kinh tế cực kỳ cao.""","- Ký hiệu dễ làm: Xuất hiện dòng chữ màu xanh lá cây rực sáng: Chi phí tối thiểu - Hiệu quả tối đa.
- Chuyển cảnh: Toàn bộ chữ trên màn hình xóa sạch (FadeOut)."
,03:29 - 03:33,"""Tác động của việc tối ưu hóa kết hợp miền này là một cú hích thực sự lớn.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ lớn ở giữa: TÁC ĐỘNG THỰC TẾ kèm hiệu ứng phóng to chữ (scale).
- Chuyển cảnh: Dòng chữ dịch chuyển lên trên để làm tiêu đề cho đồ thị so sánh số liệu ở câu sau."
,03:33 - 03:38,"""Trên cùng một quy mô mô hình 1B with 29 tỷ token, việc chỉ lấy mẫu đồng đều (Uniform sampling) từ Common Crawl chỉ mang lại kết quả trung bình thấp.""","- Ký hiệu dễ làm: Vẽ một cột đứng màu xám thấp mang nhãn chữ: Uniform Sampling: 51.6.
- Chuyển cảnh: Giữ nguyên cột thấp, chuẩn bị cho cột bứt phá xuất hiện bên cạnh."
,03:38 - 03:44,"""Nhưng khi kết hợp tối ưu cả chủ đề lẫn định dạng theo thuật toán Regmix, hiệu suất trung bình trên 9 tác vụ hạ nguồn đã lập tức nhảy vọt từ 51,6 lên 56,2.""","- Ký hiệu dễ làm: Ngay bên cạnh cột xám, một Cột đứng màu xanh dương tự vẽ vọt lên rất cao, mang nhãn chữ: Regmix Tối ưu: 56.2. Một mũi tên chỉ hướng đi lên nối giữa hai đỉnh cột để biểu thị cú nhảy vọt.
- Chuyển cảnh: Giữ nguyên hai cột đồ thị để làm hệ quy chiếu so sánh cho câu sau."
,03:44 - 03:48,"""Mức tăng trưởng ngoạn mục này hoàn toàn sánh ngang với bộ lọc FineWeb-edu đình đám của Hugging Face.""","- Ký hiệu dễ làm: Xuất hiện một đường kẻ ngang đứt nét màu vàng cắt ngang đỉnh cột xanh, mang nhãn chữ: FineWeb-edu (Hugging Face) để thể hiện sự ngang ngửa về mặt hiệu năng.
- Chuyển cảnh: Đường kẻ ngang biến mất."
,03:48 - 03:52,"""Nó chứng minh một sự thật: các hỗn hợp miền tối ưu đã chủ động lựa chọn nhiều hơn các tài liệu khoa học công nghệ, các bài viết học thuật hướng dẫn và gạt bỏ các nội dung rác.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ [✓] Khoa học & Học thuật màu xanh đặt ở phía trên, và nhãn chữ [✗] Nội dung rác màu đỏ bị một dấu gạch ngang xóa bỏ ở phía dưới.
- Chuyển cảnh: Toàn bộ đồ thị và chữ mờ dần rồi biến mất hoàn toàn (FadeOut)."
,03:52 - 04:02,"""Việc hiểu rõ cơ chế này giúp chúng ta có một hệ quy chiếu sắc bén để so sánh, phân tích các phương pháp tuyển chọn dữ liệu hiện nay. Mỏ neo cuối cùng chứng minh cho sức mạnh của dữ liệu chính là dự án PROLONG (Princeton Long Context Model) — dự án tiêu tốn tài nguyên nhất của phòng lab khi ngốn gấp 10 lần ngân sách thông thường.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ rực sáng: DỰ ÁN: PROLONG (Princeton). Phía dưới hiện thông số cảnh báo chi phí bằng chữ: Chi phí: Ngốn x10 Ngân sách thông thường.
- Chuyển cảnh: Dòng chữ chi phí biến mất, hiển thị mục tiêu của dự án."
,04:02 - 04:07,"""Mục tiêu của dự án là xây dựng một mô hình 8 tỷ tham số (8B) hỗ trợ độ dài ngữ cảnh không tưởng lên đến 512K.""","- Ký hiệu dễ làm: Hiện thông số mục tiêu lớn bằng chữ ở giữa màn hình: Kiến trúc: 8B Parameter \| Ngữ cảnh: 512K.
- Chuyển cảnh: Giữ nguyên thông số, hiển thị quy trình đi ngược ở câu sau."
,04:07 - 04:12,"""Vì không thể huấn luyện từ đầu, nhóm nghiên cứu bắt đầu từ mô hình Llama 3 8B nguyên bản vốn chỉ hỗ trợ ngữ cảnh 8K.""","- Ký hiệu dễ làm: Xuất hiện nhãn chữ gốc: Llama 3 8B (Ngữ cảnh gốc: 8K).
- Chuyển cảnh: Vẽ mũi tên dịch chuyển từ nhãn gốc sang nhãn mục tiêu ở câu sau."
,04:12 - 04:16,"""Họ đã tiến hành huấn luyện tiếp tục trên 40 tỷ token để kéo giãn cửa sổ ngữ cảnh lên mốc 512K.""","- Ký hiệu dễ làm: Trên đường mũi tên dịch chuyển, xuất hiện khối chữ thông số: + 40 Tỷ Tokens (Huấn luyện tiếp tục), đồng thời con số 8K ở câu trước biến đổi thuộc tính (Transform) chạy tăng tốc lên mốc chữ 512K.
- Chuyển cảnh: Toàn bộ các khối chữ thông số cũ thu nhỏ lại dạt sang góc trái, nhường nửa bên phải cho gã khổng lồ Meta xuất hiện đối đầu."
,04:16 - 04:21,"""Ngay khi hoàn thành, Meta tung ra Llama 3.1 và họ đã phải dùng tới 800 tỷ token cho việc huấn luyện ngữ cảnh dài.""","- Ký hiệu dễ làm: Ở nửa bên phải màn hình, xuất hiện nhãn chữ khổng lồ màu đỏ: Meta Llama 3.1: 800 TỶ TOKENS.
- Chuyển cảnh: Giữ nguyên hai khối thông số của Princeton và Meta để làm bàn cân so sánh tỷ lệ tài nguyên ở câu sau."
,04:21 - 04:25,"""Nghĩa là, PROLONG chỉ sử dụng vẻn vẹn 5% tài nguyên tính toán của Meta.""","- Ký hiệu dễ làm: Dưới nhãn chữ PROLONG, hiện con số tỷ lệ gây sốc màu xanh dương: ""CHỈ DÙNG 5% TÀI NGUYÊN"".
- Chuyển cảnh: Toàn bộ thông số tài nguyên biến mất, thay thế bằng bảng xếp hạng hiệu năng."
,04:25 - 04:33,"""Nhưng khi đưa lên bàn cân đối chiếu, PROLONG vẫn đạt hiệu suất tương đương với Llama 3.1 trong các bài đánh giá ngữ cảnh dài, đồng thời vượt trội hơn hầu hết các mô hình mã nguồn mở khác dưới 10B tham số trên thị trường.""","- Ký hiệu dễ làm: Xuất hiện một bảng so sánh hiệu năng tác vụ ngữ cảnh dài dạng chữ đơn giản công khai: PROLONG 8B ~ Llama 3.1 và PROLONG 8B > Mô hình mã nguồn mở khác (<10B).
- Chuyển cảnh: Bảng so sánh biến mất (FadeOut)."
,04:33 - 04:36,"""Chìa khóa của phép màu này, một lần nữa, lại nằm ở dữ liệu.""","- Ký hiệu dễ làm: Một chữ DỮ LIỆU màu xanh dương khổng lồ hiện ra rực sáng ở chính giữa màn hình.
- Chuyển cảnh: Giữ nguyên chữ dữ liệu để phân rã cấu trúc ở câu sau."
